"","date","total_stake","unbonded_amount"
"583",2022-01-21,616500344.890776,138733.583065085
"584",2022-01-22,616755511.984059,98713.0332224716
"585",2022-01-23,617152247.007238,286615.618039462
"586",2022-01-24,617013316.561319,562235.78239308
"587",2022-01-25,616795874.513716,1010383.57557521
"588",2022-01-26,615838714.370201,178367.966723353
"589",2022-01-27,616563929.995259,37672.1748938482
"590",2022-01-28,612347001.41693,98179.8813747241
"591",2022-01-29,612204162.510718,238219.707654092
"592",2022-01-30,611432924.499003,35296.537878595
"593",2022-01-31,607363195.466268,269982.058367902
"594",2022-02-01,618717099.324053,197578.316665021
"595",2022-02-02,618197565.567064,264781.839806595
"596",2022-02-03,622474228.059438,114753.767346536
"597",2022-02-04,624999322.724941,137281.35378278
"598",2022-02-05,624764273.388764,215600.851203254
"599",2022-02-06,619923904.979681,320408.666285112
"600",2022-02-07,620072057.200706,231916.043602366
"601",2022-02-08,614195670.935409,196185.551863604
"602",2022-02-09,614128980.142941,193264.350936121
"603",2022-02-10,615982238.313195,246213.269377802
"604",2022-02-11,614595225.324662,276253.192642338
"605",2022-02-12,614392555.721881,16687.8502081616
"606",2022-02-13,613899744.772152,1405827.53289662
